,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
65,06-Apr-2011,5908.0,5944.45,5868.8,5891.75,125960708,6114.96
66,07-Apr-2011,5888.55,5906.1,5866.25,5885.7,98160761,5029.08
67,08-Apr-2011,5886.75,5926.95,5822.0,5842.0,99854772,5071.12
68,11-Apr-2011,5805.35,5830.3,5777.9,5785.7,92734132,4636.4
69,13-Apr-2011,5747.95,5923.6,5735.55,5911.5,145699909,6888.51
70,15-Apr-2011,5898.75,5907.35,5806.45,5824.55,140590405,9198.8
71,18-Apr-2011,5824.35,5897.9,5722.25,5729.1,121111083,7626.14
72,19-Apr-2011,5716.0,5762.95,5693.25,5740.75,101237488,5510.81
73,20-Apr-2011,5786.05,5857.35,5759.65,5851.65,117896054,6097.39
74,21-Apr-2011,5882.85,5912.9,5864.35,5884.7,119753918,7240.13
75,25-Apr-2011,5859.6,5906.6,5857.0,5874.5,94377009,5323.17
76,26-Apr-2011,5876.85,5893.2,5791.55,5868.4,117166769,6155.73
77,27-Apr-2011,5884.2,5892.35,5819.95,5833.9,108740523,5893.38
78,28-Apr-2011,5851.35,5856.4,5776.95,5785.45,159344933,8773.7
79,29-Apr-2011,5782.5,5804.3,5706.05,5749.5,184751755,7259.0
80,02-May-2011,5766.9,5775.25,5687.7,5701.3,86514383,4614.18
81,03-May-2011,5689.7,5710.8,5554.85,5565.25,125522829,7457.0
82,04-May-2011,5567.7,5578.8,5503.0,5537.15,119083244,6150.25
83,05-May-2011,5531.6,5560.3,5443.65,5459.85,126424541,5953.85
84,06-May-2011,5477.65,5564.4,5472.45,5551.45,122684321,5969.39
85,09-May-2011,5575.2,5586.05,5502.4,5551.1,75438946,3387.89
86,10-May-2011,5555.55,5592.9,5514.55,5541.25,88822800,3931.01
87,11-May-2011,5547.2,5574.7,5525.0,5565.05,82509136,4309.88
88,12-May-2011,5537.8,5572.5,5476.3,5486.15,91624740,4342.75
89,13-May-2011,5492.35,5605.0,5472.15,5544.75,119423852,5690.93
90,16-May-2011,5541.7,5541.8,5487.65,5499.0,94219161,4343.66
91,17-May-2011,5496.1,5523.85,5421.05,5438.95,109199263,6356.9
92,18-May-2011,5448.2,5460.5,5401.25,5420.6,107357672,6250.15
93,19-May-2011,5448.15,5452.6,5411.25,5428.1,94180687,5509.73
94,20-May-2011,5450.65,5517.55,5432.75,5486.35,127399855,5791.89
95,23-May-2011,5456.7,5456.7,5373.0,5386.55,94674110,5037.85
96,24-May-2011,5385.1,5422.6,5367.45,5394.85,100052471,4819.47
97,25-May-2011,5389.1,5389.1,5328.7,5348.95,99917758,5133.01
98,26-May-2011,5372.75,5422.2,5356.35,5412.35,161608076,7601.74
99,27-May-2011,5413.7,5485.8,5413.6,5476.1,117233303,5553.69
100,30-May-2011,5493.75,5509.3,5458.6,5473.1,100764849,4451.38
101,31-May-2011,5492.0,5571.6,5489.7,5560.15,149409715,6946.23
102,01-Jun-2011,5561.05,5597.35,5559.45,5592.0,98629277,4670.86
103,02-Jun-2011,5529.9,5568.2,5521.95,5550.35,110949186,4709.42
104,03-Jun-2011,5565.7,5604.95,5507.2,5516.75,101017578,4757.1
105,06-Jun-2011,5504.3,5542.65,5479.85,5532.05,77137320,3486.68
106,07-Jun-2011,5509.15,5570.1,5507.8,5556.15,81858402,3830.7
107,08-Jun-2011,5535.25,5556.6,5514.9,5526.85,92928675,3869.33
108,09-Jun-2011,5523.55,5540.1,5502.05,5521.05,87033655,3859.17
109,10-Jun-2011,5518.05,5521.45,5457.45,5485.8,84190282,3995.15
110,13-Jun-2011,5469.85,5496.7,5436.95,5482.8,80104906,3807.22
111,14-Jun-2011,5485.6,5520.15,5484.2,5500.5,97840485,4714.26
112,15-Jun-2011,5494.45,5499.35,5438.95,5447.5,95878889,4562.47
113,16-Jun-2011,5419.65,5447.5,5389.8,5396.75,128063494,5341.03
114,17-Jun-2011,5412.5,5421.15,5355.85,5366.4,97876272,4480.59
115,20-Jun-2011,5372.2,5377.4,5195.9,5257.9,135334880,5956.17
116,21-Jun-2011,5280.8,5322.45,5257.0,5275.85,107191673,4765.02
117,22-Jun-2011,5304.65,5310.5,5262.5,5278.3,95769497,4151.39
118,23-Jun-2011,5269.1,5330.6,5252.25,5320.0,89001344,3756.75
119,24-Jun-2011,5343.4,5477.85,5343.4,5471.25,140100077,6791.8
120,27-Jun-2011,5441.2,5552.65,5434.25,5526.6,143402407,6707.54
121,28-Jun-2011,5548.85,5558.3,5496.35,5545.3,114413706,5127.85
122,29-Jun-2011,5566.5,5608.65,5566.5,5600.45,124593981,5463.96
123,30-Jun-2011,5614.5,5657.9,5606.1,5647.4,179224275,8133.27
124,01-Jul-2011,5705.75,5705.8,5609.75,5627.2,141092473,5590.28
125,04-Jul-2011,5679.55,5679.65,5633.1,5650.5,103528865,4266.62
126,05-Jul-2011,5659.85,5659.85,5612.3,5632.1,100776400,4938.19
127,06-Jul-2011,5622.7,5655.4,5610.75,5625.45,86109914,4239.98
128,07-Jul-2011,5633.35,5737.15,5632.95,5728.95,112220298,5439.55
129,08-Jul-2011,5734.65,5740.4,5651.05,5660.65,129276449,5659.53
130,11-Jul-2011,5648.05,5652.9,5601.7,5616.1,78899703,3579.63
131,12-Jul-2011,5556.9,5580.25,5496.95,5526.15,104907108,5294.13
132,13-Jul-2011,5542.05,5596.15,5541.4,5585.45,106019573,4702.05
133,14-Jul-2011,5569.0,5653.95,5541.7,5599.8,123015471,5390.44
134,15-Jul-2011,5602.95,5631.7,5562.75,5581.1,80426784,3668.42
135,18-Jul-2011,5581.75,5596.6,5550.95,5567.05,73604991,3305.34
136,19-Jul-2011,5569.85,5627.65,5557.2,5613.55,86555649,3983.28
137,20-Jul-2011,5642.05,5645.4,5555.1,5567.05,87093214,3825.45
138,21-Jul-2011,5554.6,5578.9,5532.7,5541.6,76327640,3681.07
139,22-Jul-2011,5576.95,5642.2,5567.1,5633.95,106781617,5040.43
140,25-Jul-2011,5633.8,5700.55,5616.7,5680.3,142008190,5622.44
141,26-Jul-2011,5688.45,5702.25,5560.15,5574.85,134108563,6270.33
142,27-Jul-2011,5588.55,5591.7,5521.5,5546.8,122321153,5358.36
143,28-Jul-2011,5492.4,5512.1,5475.65,5487.75,164522151,6883.18
144,29-Jul-2011,5479.0,5520.3,5453.95,5482.0,156128914,5901.53
145,01-Aug-2011,5527.5,5551.9,5486.45,5516.8,98962726,4048.98
146,02-Aug-2011,5493.2,5496.3,5433.65,5456.55,110372244,4236.41
147,03-Aug-2011,5402.0,5422.6,5378.85,5404.8,133223864,5339.25
148,04-Aug-2011,5412.4,5434.5,5323.15,5331.8,118482440,4820.07
149,05-Aug-2011,5204.35,5229.65,5116.45,5211.25,196016865,7543.44
150,08-Aug-2011,5083.85,5204.2,5054.05,5118.5,188307028,7326.93
151,09-Aug-2011,4947.9,5167.0,4946.45,5072.85,233869015,9385.01
152,10-Aug-2011,5196.55,5197.95,5123.35,5161.0,158404456,6289.41
153,11-Aug-2011,5128.0,5184.95,5121.0,5138.3,113043482,4723.01
154,12-Aug-2011,5194.4,5194.45,5053.35,5072.95,128834807,5909.91
155,16-Aug-2011,5125.75,5132.2,5015.4,5035.8,130896704,5081.61
156,17-Aug-2011,5030.3,5112.15,5017.25,5056.6,143342008,5472.63
157,18-Aug-2011,5077.95,5078.6,4932.15,4944.15,139816131,5686.22
158,19-Aug-2011,4859.3,4893.6,4796.1,4845.65,166702431,7317.33
159,22-Aug-2011,4843.7,4910.05,4808.75,4898.8,123813921,5186.04
160,23-Aug-2011,4925.15,4965.8,4863.8,4948.9,130010440,5519.36
161,24-Aug-2011,4934.35,4962.4,4875.3,4888.9,129410652,5241.5
162,25-Aug-2011,4914.65,4915.85,4825.05,4839.6,184913414,7921.11
163,26-Aug-2011,4839.25,4872.0,4720.0,4747.8,149717732,5850.84
164,29-Aug-2011,4806.2,4934.4,4806.05,4919.6,145125304,5576.71
165,30-Aug-2011,4973.25,5016.25,4927.55,5001.0,181539730,7051.77
166,02-Sep-2011,5109.8,5113.7,4993.35,5040.0,195055967,7689.7
167,05-Sep-2011,4998.9,5030.3,4964.45,5017.2,162898218,6359.59
168,06-Sep-2011,4993.35,5072.9,4942.9,5064.3,183680006,7278.0
169,07-Sep-2011,5080.15,5154.5,5076.3,5124.65,193856202,6883.16
170,08-Sep-2011,5139.2,5169.25,5098.25,5153.25,140855342,6093.78
171,09-Sep-2011,5161.3,5163.75,5046.8,5059.45,158713071,6482.27
172,12-Sep-2011,4981.7,4985.6,4911.25,4946.8,135500219,5175.51
173,13-Sep-2011,4977.8,5030.15,4911.05,4940.95,146005268,5305.87
174,14-Sep-2011,4965.05,5026.15,4917.4,5012.55,154276761,6416.57
175,15-Sep-2011,5062.35,5091.45,4967.45,5075.7,153648925,5935.88
176,16-Sep-2011,5123.35,5143.6,5068.1,5084.25,225187238,8379.56
177,19-Sep-2011,5068.4,5068.4,5019.25,5031.95,115737842,4042.27
178,20-Sep-2011,5042.55,5149.9,5035.25,5140.2,146599496,5504.69
179,21-Sep-2011,5153.75,5168.4,5109.85,5133.25,132918171,5142.01
180,22-Sep-2011,5054.45,5059.85,4907.75,4923.65,147608376,5675.35
181,23-Sep-2011,4873.75,4930.25,4829.6,4867.75,205769423,7364.65
182,26-Sep-2011,4878.6,4879.8,4758.85,4835.4,156079487,5475.64
183,27-Sep-2011,4905.15,4982.95,4905.15,4971.25,151313966,5284.66
184,28-Sep-2011,5005.5,5006.05,4918.45,4945.9,166872414,6078.49
185,29-Sep-2011,4924.2,5034.25,4906.0,5015.45,216156088,8284.97
186,30-Sep-2011,4990.15,5025.55,4924.3,4943.25,201962105,6764.12
187,03-Oct-2011,4874.4,4879.15,4823.9,4849.5,148921569,5230.17
188,04-Oct-2011,4823.5,4869.75,4728.3,4772.15,184413296,6736.87
189,05-Oct-2011,4791.3,4827.8,4741.0,4751.3,179140481,6385.35
